Column Name,dtype
Which of the following would you say is the biggest reason why you do not use social media?: It has a negative impact on my social interactions,str
Which of the following would you say is the biggest reason why you do not use social media?: I am worried I may become addicted,str
Which of the following would you say is the biggest reason why you do not use social media?: I don’t like it,str
Q2023SM3r97,float64
Q2023SM3r98,float64
"found that you have only been able to think of the next time you will be able to use social media? : During the past year, when using social media have you...",str
"felt dissatisfied because you wanted to spend more time on social media? : During the past year, when using social media have you...",str
"felt bad when you could not use social media? : During the past year, when using social media have you...",str
"tried to spend less time on social media, but failed? : During the past year, when using social media have you...",str
"neglected other activities (e.g. hobbies, sport) because you wanted to use social media? : During the past year, when using social media have you...",str
"had arguments with others because of your social media use? : During the past year, when using social media have you...",str
"lied to your parents or friends about the amount of time you spend on social media? : During the past year, when using social media have you...",str
"used social media to escape from negative feelings? : During the past year, when using social media have you...",str
"had serious conflict with family members because of your social media use? : During the past year, when using social media have you...",str
How strongly do you agree or disagree with the following statement? “Social media is designed to be addictive“,str
Using social media leaves me feeling positive/joyful/happy. : Consider your personal use (not work-related) of social media over the past 6 months. How frequently would you say...,str
I become pleasantly absorbed in what I’m doing on social media. : Consider your personal use (not work-related) of social media over the past 6 months. How frequently would you say...,str
I feel valued and supported by my social media friends/contacts. : Consider your personal use (not work-related) of social media over the past 6 months. How frequently would you say...,str
My use of social media is well-aligned with my values. : Consider your personal use (not work-related) of social media over the past 6 months. How frequently would you say...,str
Social media contributes towards me accomplishing goals that are important to me. : Consider your personal use (not work-related) of social media over the past 6 months. How frequently would you say...,str
CyberBullying_QOB1,str
"Which of the following best describes the bullying, harassment or threatening behavior you experienced online?: Personal insults",str
"Which of the following best describes the bullying, harassment or threatening behavior you experienced online?: Blackmail",str
"Which of the following best describes the bullying, harassment or threatening behavior you experienced online?: Cyberstalking",str
"Which of the following best describes the bullying, harassment or threatening behavior you experienced online?: Threats to personal safety",str
"Which of the following best describes the bullying, harassment or threatening behavior you experienced online?: Threats to personal property",str
"Which of the following best describes the bullying, harassment or threatening behavior you experienced online?: Threats to safety of family and friends",str
"Which of the following best describes the bullying, harassment or threatening behavior you experienced online?: Publishing private or identifying information online (Doxxing)",str
Q2023HC2r97,float64
Q2023HC2r98,float64
"And do you think the bullying, harassment or threatening behavior you experienced online were as a result of your...: Gender",str
"And do you think the bullying, harassment or threatening behavior you experienced online were as a result of your...: Disability",str
"And do you think the bullying, harassment or threatening behavior you experienced online were as a result of your...: Sexual Orientation",str
"And do you think the bullying, harassment or threatening behavior you experienced online were as a result of your...: Political Views",str
"And do you think the bullying, harassment or threatening behavior you experienced online were as a result of your...: Religion",str
"And do you think the bullying, harassment or threatening behavior you experienced online were as a result of your...: Race/Ethnicity",str
"And do you think the bullying, harassment or threatening behavior you experienced online were as a result of your...: Nationality",str
Q2023HC3r97,float64
Q2023HC3r98,float64
Q2023HC3r998,float64
"Which of the following resulted from the bullying, harassment or threatening behavior you experienced online?: Felt alone, sad, and/or hopeless",str
"Which of the following resulted from the bullying, harassment or threatening behavior you experienced online?: Felt isolated socially",str
"Which of the following resulted from the bullying, harassment or threatening behavior you experienced online?: Withdrew from school, work, or other commitments",str
"Which of the following resulted from the bullying, harassment or threatening behavior you experienced online?: Seriously impacted my mood and/or anxiety levels",str
Q2023HC4r97,float64
Q2023HC4r96,float64
"Which of the following have you done in response to the bullying, harassment or threatening behavior you experienced online?: Blocked the person or person(s) on the platform",str
"Which of the following have you done in response to the bullying, harassment or threatening behavior you experienced online?: Reported the person or person(s) to the platform's support or help center",str
"Which of the following have you done in response to the bullying, harassment or threatening behavior you experienced online?: Reported the person or person(s) to school administrators (if in school) or place of employment (if in the workplace)",str
"Which of the following have you done in response to the bullying, harassment or threatening behavior you experienced online?: Reported the person or person(s) to civil authorities",str
"Which of the following have you done in response to the bullying, harassment or threatening behavior you experienced online?: Made the account private",str
"Which of the following have you done in response to the bullying, harassment or threatening behavior you experienced online?: Removed personal information from the account",str
"Which of the following have you done in response to the bullying, harassment or threatening behavior you experienced online?: Deleted your personal account on the platform (e.g. deleted Facebook/Instagram account)",str
"Which of the following have you done in response to the bullying, harassment or threatening behavior you experienced online?: Told a trusted family member or friend about the bullying",str
Q2023HC5r97,float64
Q2023HC5r96,float64
To what extent do you agree or disagree with the following statement? “I have seen content or images online that have psychologically upset me and caused me harm”,str
"Have you, watched streaming services (Netflix, Tencent Video, STARZPlay, etc.) in the past 12 months?",str
Some people watch several (normally three or more) episodes of a TV show back to back. This is known as binge-watching. Have you ever experienced this yourself?,str
I watch TV shows more often than I should : Which of the following best describes how frequently each of the following occur?,str
I sometimes mislead my family/friends about how much time I’ve been spending watching TV : Which of the following best describes how frequently each of the following occur?,str
My family express their disapproval on my spending what they claim is too much time watching TV shows/streaming content : Which of the following best describes how frequently each of the following occur?,str
Which of the following would you say is the biggest reason why you do not binge-watch content?: Not enough quality content available,str
Which of the following would you say is the biggest reason why you do not binge-watch content?: I don’t have the time to watch multiple episodes with my work and personal commitments,str
Which of the following would you say is the biggest reason why you do not binge-watch content?: I do not want the series I enjoy to end quickly,str
Which of the following would you say is the biggest reason why you do not binge-watch content?: It is against my religious belief,str
Which of the following would you say is the biggest reason why you do not binge-watch content?: I cannot afford the data/internet costs required,str
Which of the following would you say is the biggest reason why you do not binge-watch content?: I do not have the internet bandwidth required,str
Which of the following would you say is the biggest reason why you do not binge-watch content?: It causes disruption to my sleep patterns,str
Which of the following would you say is the biggest reason why you do not binge-watch content?: It causes me to be sedentary,str
Which of the following would you say is the biggest reason why you do not binge-watch content?: It takes time from other activities I would rather do,str
Which of the following would you say is the biggest reason why you do not binge-watch content?: It has a negative impact on my physical health,str
Which of the following would you say is the biggest reason why you do not binge-watch content?: It has a negative impact on my mental health,str
Which of the following would you say is the biggest reason why you do not binge-watch content?: It has a negative impact on my productivity,str
Which of the following would you say is the biggest reason why you do not binge-watch content?: It has a negative impact on my social interactions,str
Which of the following would you say is the biggest reason why you do not binge-watch content?: I am worried I may become addicted,str
Q2023NOBINGEr97,float64
Q2023NOBINGEr98,float64
"Have you played electronic games (online games, video games, mobile phone games, etc.) in the past 12 months?",str
"Do you play video games with friends you know in real life, online friends or complete strangers?: I play with friends I know in real/ offline life",str
"Do you play video games with friends you know in real life, online friends or complete strangers?: I play with friends I only know online",str
"Do you play video games with friends you know in real life, online friends or complete strangers?: I play with complete strangers",str
Q2023GG1r96,float64
Q2023GG1r98,float64
Which of the following devices/formats is the platform you use most often to play games?,str
"And, in a typical week how many hours do you spend gaming?",float64
Which of the following best describes how much time you spend playing video games?,str
"In the past 12 months, when gaming have you thought gaming has become the dominant activity in your daily life : ",str
"In the past 12 months, when gaming have you felt more irritability, anxiety or even sadness when you try to either reduce or stop your gaming activity ",str
"In the past 12 months, when gaming have you felt the need to spend increasing amount of time engaged gaming in order to achieve satisfaction or pleasure",str
"In the past 12 months, when gaming have you failed when trying to control or cease your gaming activity",str
"In the past 12 months, when gaming have you lost interests in previous hobbies and other entertainment activities as a result of your engagement with the game",str
"In the past 12 months, when gaming have you continued your gaming activity despite knowing it was causing problems between you and other people",str
"In the past 12 months, when gaming have you deceived any of your family members, therapists or others because the amount of your gaming activity",str
"In the past 12 months, when gaming have you played in order to temporarily escape or relieve a negative mood (e.g., helplessness, guilt, anxiety)",str
"In the past 12 months, when gaming have you jeopardized or lost an important relationship, job or an educational or career opportunity because of your gaming activity",str
I’m proud to consider myself a gamer : Do you agree or disagree with the following statements?,str
My gaming helps me develop skills that are useful in the offline world (for example the world of work) : Do you agree or disagree with the following statements?,str
I have made valuable friendships through gaming : Do you agree or disagree with the following statements?,str
"If I wasn’t gaming, I would probably be doing something more harmful to my health : Do you agree or disagree with the following statements?",str
Which of the following would you say is the biggest reason why you do you not play electronic games?: Not enough time to spend gaming,str
Which of the following would you say is the biggest reason why you do you not play electronic games?: I cannot afford the games or console,str
Which of the following would you say is the biggest reason why you do you not play electronic games?: It is against my religious belief,str
Which of the following would you say is the biggest reason why you do you not play electronic games?: I cannot afford the data/internet costs required,str
Which of the following would you say is the biggest reason why you do you not play electronic games?: I do not have the internet bandwidth required,str
Which of the following would you say is the biggest reason why you do you not play electronic games?: It causes disruption to my sleep patterns,str
Which of the following would you say is the biggest reason why you do you not play electronic games?: It causes me to be sedentary,str
Which of the following would you say is the biggest reason why you do you not play electronic games?: It takes time from other activities I would rather do,str
Which of the following would you say is the biggest reason why you do you not play electronic games?: It has a negative impact on my physical health,str
Which of the following would you say is the biggest reason why you do you not play electronic games?: It has a negative impact on my mental health,str
Which of the following would you say is the biggest reason why you do you not play electronic games?: It has a negative impact on my productivity,str
Which of the following would you say is the biggest reason why you do you not play electronic games?: It has a negative impact on my social interactions,str
Which of the following would you say is the biggest reason why you do you not play electronic games?: I am worried I may become addicted,str
Q2023NOGAME1r97,float64
Q2023NOGAME1r98,float64
Which of the following would you rather be doing during your leisure time than gaming?: Reading,str
Which of the following would you rather be doing during your leisure time than gaming?: Exercising,str
Which of the following would you rather be doing during your leisure time than gaming?: Outdoor activities,str
Which of the following would you rather be doing during your leisure time than gaming?: Arts and crafts,str
Which of the following would you rather be doing during your leisure time than gaming?: Cooking and baking,str
Which of the following would you rather be doing during your leisure time than gaming?: Listening to or making music/art,str
Which of the following would you rather be doing during your leisure time than gaming?: Watching TV shows or movies,str
Which of the following would you rather be doing during your leisure time than gaming?: Spending time with friends,str
Which of the following would you rather be doing during your leisure time than gaming?: Spending time with family,str
Which of the following would you rather be doing during your leisure time than gaming?: Learning new skills,str
Which of the following would you rather be doing during your leisure time than gaming?: Volunteering,str
Q2023NOGAME2r97,float64
Q2023NOGAME2r98,float64
Which of the following best describes how much time you spend online each day?,str
Smartphones are designed to be addictive : How strongly do you agree or disagree with each of the following statements?,str
Technology allows me to work more flexibly : How strongly do you agree or disagree with each of the following statements?,str
"Technology, such as wearables, enables me to live a healthier life : How strongly do you agree or disagree with each of the following statements?",str
"Which of the following methods, if any, have you ever used in an attempt to limit your time online?: Turned off your WiFi/disable your internet",str
"Which of the following methods, if any, have you ever used in an attempt to limit your time online?: Used a screen time tracking app",str
"Which of the following methods, if any, have you ever used in an attempt to limit your time online?: Deleted apps",str
"Which of the following methods, if any, have you ever used in an attempt to limit your time online?: Made a public commitment to delete or not use certain apps",str
"Which of the following methods, if any, have you ever used in an attempt to limit your time online?: Turned off notifications",str
"Which of the following methods, if any, have you ever used in an attempt to limit your time online?: Used a digital self-control app",str
"Which of the following methods, if any, have you ever used in an attempt to limit your time online?: Set usage limits",str
"Which of the following methods, if any, have you ever used in an attempt to limit your time online?: Practiced time management",str
"Which of the following methods, if any, have you ever used in an attempt to limit your time online?: Created screen-free time before bed",str
Q2023H1r97,int64
Q2023H1r96,int64
"Cause you to skip sleep : How often does your use of technology (such as a computer or smartphone, for either work or leisure)...?",str
"Cause you to miss a meal : How often does your use of technology (such as a computer or smartphone, for either work or leisure)...?",str
"Result in you missing time with your family/friends : How often does your use of technology (such as a computer or smartphone, for either work or leisure)...?",str
"Result in you missing work or school : How often does your use of technology (such as a computer or smartphone, for either work or leisure)...?",str
"Thinking about when you spend longer than usual using digital technology, do you experience any of the following?: Dry eyes or blurred vision",str
"Thinking about when you spend longer than usual using digital technology, do you experience any of the following?: Headache",str
"Thinking about when you spend longer than usual using digital technology, do you experience any of the following?: Neck or back pain",str
"Thinking about when you spend longer than usual using digital technology, do you experience any of the following?: Wrist pain",str
"Thinking about when you spend longer than usual using digital technology, do you experience any of the following?: Decreased sleep quality",str
"Thinking about when you spend longer than usual using digital technology, do you experience any of the following?: Tiredness",str
QHORIZON14r96,int64
"Thinking about when you spend longer than usual using digital technology (such as a smartphone or computer), do you subsequently experience any of the following more than normal?: Mood swings",str
"Thinking about when you spend longer than usual using digital technology (such as a smartphone or computer), do you subsequently experience any of the following more than normal?: Feeling guilty",str
"Thinking about when you spend longer than usual using digital technology (such as a smartphone or computer), do you subsequently experience any of the following more than normal?: Lack in confidence",str
"Thinking about when you spend longer than usual using digital technology (such as a smartphone or computer), do you subsequently experience any of the following more than normal?: Low mood/ sadness",str
"Thinking about when you spend longer than usual using digital technology (such as a smartphone or computer), do you subsequently experience any of the following more than normal?: Feeling anxious",str
"Thinking about when you spend longer than usual using digital technology (such as a smartphone or computer), do you subsequently experience any of the following more than normal?: Fatigue",str
"Thinking about when you spend longer than usual using digital technology (such as a smartphone or computer), do you subsequently experience any of the following more than normal?: Stressed",str
"Thinking about when you spend longer than usual using digital technology (such as a smartphone or computer), do you subsequently experience any of the following more than normal?: Loneliness",str
QHEALTH2r96,int64
"Based on your knowledge, if you or your family member ever needed to get treatment for addiction to online content, how confident are you that you will be able to access professional help?",str
Which of the following is closer to your opinion. My use of digital technology...,str
Which of the following is closer to your opinion. My use of digital technology....1,str
...the internet : Who do you think should be primarily responsible for regulation of...,str
...new and emerging technologies : Who do you think should be primarily responsible for regulation of...,str
...social media : Who do you think should be primarily responsible for regulation of...,str
How confident are you in the ability of governments to regulate content on the internet?,str
How confident are you in the ability of governments to regulate new and emerging technologies?,str
Which of the following is closer to your opinion?,str
Are you aware of any government policy in your country that limits what people can see online?,str
Which of the following regulations do you think is most important?,str
How concerned are you by the collection and analysis of your personal data while using the internet?,str
To what extent do you trust information you see online? Please rate on a scale of 1 to 5 where 1 represents completely trusting what you see and 5 represents completely distrusting what you see.,str
"When you doubt the validity of the information you see online, what do you do to generally check if it’s true or not?: I check information on multiple sources",str
"When you doubt the validity of the information you see online, what do you do to generally check if it’s true or not?: I check social media comments",str
"When you doubt the validity of the information you see online, what do you do to generally check if it’s true or not?: I check factchecking websites",str
"When you doubt the validity of the information you see online, what do you do to generally check if it’s true or not?: I use independent review websites before ordering something online (e.g. Trustpilot)",str
"When you doubt the validity of the information you see online, what do you do to generally check if it’s true or not?: I check reputation of the authors (e.g. by investigating their affiliations, heavy promotion of particular viewpoint)",str
QHORIZON8r97,int64
QHORIZON8r96,int64
QHORIZON8r98,int64
"Which strategies do you use to protect yourself against cyber-crime? Cyber-crime is a criminal activity conducted online, such as phishing financial fraud or identity theft Personal data examples: name and surname, living address, phone number, pictures of oneself: I don’t open emails/messages from unknown sources",str
"Which strategies do you use to protect yourself against cyber-crime? Cyber-crime is a criminal activity conducted online, such as phishing financial fraud or identity theft Personal data examples: name and surname, living address, phone number, pictures of oneself: I make sure none of my personal details are publicly visible (by adjusted privacy settings on digital devices, using social media accounts or apps in private mode)",str
"Which strategies do you use to protect yourself against cyber-crime? Cyber-crime is a criminal activity conducted online, such as phishing financial fraud or identity theft Personal data examples: name and surname, living address, phone number, pictures of oneself: I never use public Wi-Fi to access sensitive information such as online banking",str
"Which strategies do you use to protect yourself against cyber-crime? Cyber-crime is a criminal activity conducted online, such as phishing financial fraud or identity theft Personal data examples: name and surname, living address, phone number, pictures of oneself: I use password manager software",str
"Which strategies do you use to protect yourself against cyber-crime? Cyber-crime is a criminal activity conducted online, such as phishing financial fraud or identity theft Personal data examples: name and surname, living address, phone number, pictures of oneself: I have security software/firewall installed to protect my data",str
QHORIZON9r97,int64
QHORIZON9r96,int64
At what age do you think it is appropriate for a child to have their own device such as a smartphone or computer?,str
"Which, if any, of the following religions do you follow?",str
How important is religion in your life?,str
"During the past 7 days, how would you rate your sleep quality overall?",str
"I lack companionship : Thinking about the following statements, how often do each of the statements below describes you.",str
"I feel left out : Thinking about the following statements, how often do each of the statements below describes you.",str
"I feel isolated from others : Thinking about the following statements, how often do each of the statements below describes you.",str
"Little interest or pleasure in doing things : Over the last 2 weeks, how often have you been bothered by the following problems?",str
"Feeling down, depressed or hopeless : Over the last 2 weeks, how often have you been bothered by the following problems?",str
"Feeling nervous, anxious or on edge : Over the last 2 weeks, how often have you been bothered by the following problems?",str
"Not being able to stop or control worrying : Over the last 2 weeks, how often have you been bothered by the following problems?",str
"Worrying too much about different things : Over the last 2 weeks, how often have you been bothered by the following problems?",str
"Trouble relaxing : Over the last 2 weeks, how often have you been bothered by the following problems?",str
"Being so restless that it is hard to sit still : Over the last 2 weeks, how often have you been bothered by the following problems?",str
"Becoming easily annoyed or irritable : Over the last 2 weeks, how often have you been bothered by the following problems?",str
"Feeling afraid as if something awful might happen : Over the last 2 weeks, how often have you been bothered by the following problems?",str
Unnamed: 356,str
Weight Variable,float64
Dummy Variable (Not used),float64
PHQ1,str
PHQ2,float64
This is the total score for depression as per the PHQ2 the WHO screening tool for depression,float64
This indicates if the PHQ (depression score) is above or below the cut-off,str
This is a recoding of METRIC_A14_QGAD1 - The GAD7 is the WHO measure for generalized anxiety,str
This is a recoding of METRIC_A14_QGAD2 - The GAD7 is the WHO measure for generalized anxiety,str
This is a recoding of METRIC_A14_QGAD3 - The GAD7 is the WHO measure for generalized anxiety,str
This is a recoding of METRIC_A14_QGAD4 - The GAD7 is the WHO measure for generalized anxiety,str
This is a recoding of METRIC_A14_QGAD5 - The GAD7 is the WHO measure for generalized anxiety,str
This is a recoding of METRIC_A14_QGAD6 - The GAD7 is the WHO measure for generalized anxiety,str
This is a recoding of METRIC_A14_QGAD7 - The GAD7 is the WHO measure for generalized anxiety,str
This is the total score for Anxiety as per the GAD7 the WHO screening tool for anxiety,float64
This indicates if the GAD7 score is above the cut-off for extreme amxiety ,str
UCLA lonliness scale score,float64
Above the UCLA cut-off for lonliness,str
Positive social media use score ,float64
This person is older than the median sample age ,str
Has a college degree,str
This person is looking for work,str
This person reports having viewed content online that caused distress,str
This person is 60 yrs or older,str
Problematic Social Media Use Score,float64
